source,target,connection_type,justification,weight
5rmkJLumcEodfIXSMaK7vq,4mQZp6NPkTwwMxlnDsRUBF,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,6DVjpD3z71kA7dAssucVIY,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,69sqgSNCFIH5fdYEmhKfV2,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,0Ky3rAaGVprE9xyGV8AXau,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,53fLhYCMX5VHSVimHX0C7B,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,7gOVxn8jQX8rhBYcKfMtBn,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,1VsLooKcj4aeV9BFI2hkj0,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,7hCliCeK5O44yfTgDR2DmK,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,2Rp53mn2EGNjKt8liJ0zGM,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,0h20ZtzbQa7H9YzfYvV8pd,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,1ZAP6PRNrAUcnbFCfuW2mb,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,5PxjRFRvXsLfLg1D3BolsW,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,4Mojr5CSSZnupTOaPHkal4,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,43OlucSvyiXdnLza2Svo4a,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,1KGNzb5XDbFOJCOhQjnDJy,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,5s944C3ziYbQKqpm7IYqFr,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,747hkqbZ6AbsFIhaI1ns0q,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,0sPccB6KhTPnViCM0oGktV,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,1yYE8EyuIV0rrvQ1bA2Fyf,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,2EnSzL1nt1ZOs6fPPvu9au,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,4WCywozuuSXGl3CscRHVD5,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,2wA15QQIDV2Ar6K76vbkWW,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,0bTLGlCqwZXwJGWGE2Dywg,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,5j4kHNz5syQBR9Jfv3hwbb,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,0ftQHCFyMVXCjiwocMJNzi,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,3bG1B0UTDX0UYg9qeec3gL,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,4e3nB8NXaIZyjImZvwQdh8,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,7bUcTW0mHg4Ec0kgdXemEG,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,71sE1Cd8cX2tKylxEE03gf,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,564R2CUjKmBW3hNTghZeKk,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,6GR1sgN51rNrjhPVu0iEQA,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,1qAf32OMadEU2tBBKigIbB,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
0nxt2YWqBTAF96QSMXc0Cm,5X5Dcmfb2nXFInfXQ7P5GD,mood_affinity,valence=0.49 energy=0.78 mood=-0.29,-0.293
0nxt2YWqBTAF96QSMXc0Cm,5cUJtPvqRfXRAj9yQR8iRJ,mood_affinity,valence=0.49 energy=0.78 mood=-0.29,-0.293
0nxt2YWqBTAF96QSMXc0Cm,2U9xilwDVbl5upU99insIn,mood_affinity,valence=0.49 energy=0.78 mood=-0.29,-0.293
0nxt2YWqBTAF96QSMXc0Cm,6p5px9kCJlTCybpWXHIcW3,mood_affinity,valence=0.49 energy=0.78 mood=-0.29,-0.293
0nxt2YWqBTAF96QSMXc0Cm,3US162zs7rZ7nHbc8biYTx,mood_affinity,valence=0.49 energy=0.78 mood=-0.29,-0.293
0nxt2YWqBTAF96QSMXc0Cm,4UTTtBZGgpaNCkYH1E3lIO,mood_affinity,valence=0.49 energy=0.78 mood=-0.29,-0.293
0nxt2YWqBTAF96QSMXc0Cm,0UzBSh6GnmIj2u0X4KCkWO,mood_affinity,valence=0.49 energy=0.78 mood=-0.29,-0.293
0nxt2YWqBTAF96QSMXc0Cm,23Vf9hNoBN8AacpUUHbiRy,mood_affinity,valence=0.49 energy=0.78 mood=-0.29,-0.293
0nxt2YWqBTAF96QSMXc0Cm,2HbYLDA1SigY1ilC94ieVu,mood_affinity,valence=0.49 energy=0.78 mood=-0.29,-0.293
